0,000	0,000
0,008	0,010
0,017	0,006
0,025	0,007
0,033	0,015
0,042	0,025
0,050	0,036
0,058	0,051
0,067	0,071
0,075	0,088
0,083	0,101
0,092	0,112
0,100	0,127
0,108	0,144
0,117	0,162
0,125	0,186
0,133	0,213
0,142	0,230
0,150	0,244
0,158	0,260
0,167	0,275
0,175	0,289
0,183	0,311
0,192	0,333
0,200	0,357
0,208	0,384
0,217	0,411
0,225	0,438
0,233	0,464
0,242	0,498
0,250	0,531
0,258	0,562
0,267	0,599
0,275	0,634
0,283	0,663
0,292	0,687
0,300	0,708
0,308	0,722
0,317	0,736
0,325	0,752
0,333	0,766
0,342	0,783
0,350	0,801
0,358	0,818
0,367	0,836
0,375	0,857
0,383	0,878
0,392	0,901
0,400	0,925
0,408	0,940
0,417	0,958
0,425	0,982
0,433	1,004
0,442	1,030
0,450	1,061
0,458	1,093
0,467	1,116
0,475	1,142
0,483	1,165
0,492	1,187
0,500	1,212
0,508	1,242
0,517	1,266
0,525	1,290
0,533	1,307
0,542	1,320
0,550	1,336
0,558	1,357
0,567	1,376
0,575	1,401
0,583	1,423
0,592	1,441
0,600	1,457
0,608	1,473
0,617	1,486
0,625	1,499
0,633	1,507
0,642	1,514
0,650	1,525
0,658	1,537
0,667	1,550
0,675	1,565
0,683	1,579
0,692	1,594
0,700	1,608
0,708	1,622
0,717	1,637
0,725	1,651
0,733	1,664
0,742	1,678
0,750	1,691
0,758	1,703
0,767	1,712
0,775	1,722
0,783	1,730
0,792	1,739
0,800	1,747
0,808	1,756
0,817	1,763
0,825	1,769
0,833	1,775
0,842	1,782
0,850	1,789
0,858	1,796
0,867	1,804
0,875	1,811
